CustomerID,Workday_working_call_duration,Workday_after_work_call_duration,Weekend_call_duration,International_call_duration,Total_call_duration,Average_call_duration
K144640,974.40,618.00,34.80,207.29,1627.20,3.55
K144770,1114.80,116.40,106.00,381.42,1337.20,3.39
K144820,1669.80,238.20,63.00,499.97,1971.00,3.20
K144930,2388.00,667.20,11.40,551.10,3066.60,11.15
K145190,1255.20,120.90,105.50,391.10,1481.60,3.57
K145250,1342.20,66.60,118.50,265.90,1527.30,4.83
K145460,1249.20,100.20,28.20,273.75,1377.60,9.12
K145680,1523.40,146.40,130.00,225.18,1799.80,3.82
K145690,922.80,413.10,60.60,241.78,1396.50,3.51
K145770,1199.40,385.80,44.00,207.21,1629.20,2.72
K145880,1069.20,579.30,135.00,221.09,1783.50,6.32
K146210,1717.80,295.80,13.00,341.85,2026.60,13.42
K146230,1105.20,230.40,11.00,313.95,1346.60,9.62
K146290,757.80,649.50,93.00,181.39,1500.30,2.32
K146390,936.60,176.40,6.00,205.86,1119.00,4.18
K146460,1003.80,371.70,33.00,199.87,1408.50,3.15
K146750,916.80,661.80,21.00,203.24,1599.60,2.68
K146770,933.60,368.70,31.80,348.81,1334.10,4.21
K146810,1731.00,600.00,109.50,505.46,2440.50,5.97
K146910,1528.20,378.30,20.50,431.30,1927.00,6.53
K147000,699.00,254.40,63.60,190.88,1017.00,9.25
K147160,1405.80,333.90,82.20,439.93,1821.90,7.85
K147690,1446.60,250.20,53.40,496.03,1750.20,6.86
K147820,963.00,172.50,103.20,383.28,1238.70,4.78
K147840,733.80,295.50,36.00,186.94,1065.30,14.02
K147890,1008.60,521.70,48.00,487.81,1578.30,6.24
K147950,2466.60,493.50,58.00,655.69,3018.10,5.33
K147960,1629.00,60.00,17.40,519.22,1706.40,11.69
K148330,1758.60,378.30,91.20,621.06,2228.10,4.26
K148450,1386.60,396.00,40.00,522.42,1822.60,4.95
K148460,940.80,358.80,44.00,253.54,1343.60,4.75
K148570,596.40,444.00,67.20,245.72,1107.60,4.58
K148610,1723.80,139.20,24.00,471.17,1887.00,4.91
K148650,1377.60,345.60,45.00,416.95,1768.20,4.59
K148690,1035.60,576.00,88.80,400.64,1700.40,4.68
K148760,1020.60,70.50,4.20,305.41,1095.30,13.52
K148780,1157.40,99.90,41.00,248.93,1298.30,4.64
K149160,1589.40,130.20,33.00,570.80,1752.60,11.53
K149220,1164.00,261.00,106.20,405.52,1531.20,8.23
K149390,628.20,389.40,28.50,211.78,1046.10,6.71
K149410,2630.40,618.60,29.40,631.72,3278.40,14.77
K149610,1027.20,322.20,49.80,228.47,1399.20,10.14
K149670,1392.00,101.10,11.50,246.30,1504.60,4.25
K149710,782.40,204.30,33.00,199.95,1019.70,19.24
K149780,1754.40,22.20,20.00,261.02,1796.60,2.89
K149850,1492.20,67.50,46.00,522.01,1605.70,3.74
K149980,829.20,129.00,80.50,296.56,1038.70,2.80
K150050,1710.60,497.70,49.20,535.60,2257.50,3.49
K150190,811.20,475.20,123.00,374.22,1409.40,2.84
K150210,994.20,833.70,58.20,362.96,1886.10,11.09
K150260,964.20,207.30,21.00,369.33,1192.50,12.29
K150290,766.20,382.80,40.00,257.42,1189.00,10.25
K150650,1307.40,192.60,14.00,229.81,1514.00,10.16
K150710,1245.60,60.90,75.00,407.73,1381.50,4.29
K150750,1393.80,189.90,19.20,259.50,1602.90,19.79
K150840,579.00,466.20,63.00,238.36,1108.20,4.88
K150930,1146.60,238.20,97.20,454.40,1482.00,9.09
K150950,937.20,244.50,89.50,313.70,1271.20,3.85
K151040,1305.00,296.40,34.00,320.89,1635.40,3.23
K151250,1399.80,386.40,123.00,336.26,1909.20,5.32
K151290,1315.80,351.00,7.00,269.16,1673.80,5.81
K151490,1030.20,58.80,126.00,240.56,1215.00,11.46
K151500,919.80,578.10,89.00,408.06,1586.90,3.87
K151540,1368.00,161.70,6.00,503.83,1535.70,3.21
K151550,1836.60,456.90,24.60,194.87,2318.10,13.72
K151560,1143.60,249.90,147.00,493.24,1540.50,9.69
K151670,1162.80,123.30,36.00,426.04,1322.10,3.54
K151820,1950.00,143.10,93.60,250.40,2186.70,4.44
K152050,968.40,72.30,125.40,183.77,1166.10,3.04
K152060,1614.60,238.20,67.80,550.20,1920.60,4.34
K152150,1059.60,111.60,51.00,377.98,1222.20,23.06
K152200,814.80,157.80,35.00,308.07,1007.60,4.11
K152410,742.20,383.40,27.60,273.07,1153.20,3.13
K152460,1329.60,710.70,61.80,434.16,2102.10,2.66
K152470,1751.40,257.40,30.00,376.78,2038.80,5.96
K152630,1096.20,48.60,5.40,227.66,1150.20,3.55
K152640,1434.60,431.40,31.80,217.18,1897.80,2.95
K152680,1060.80,620.70,46.80,491.68,1728.30,2.95
K153010,671.40,285.00,103.00,284.90,1059.40,4.04
K153070,1333.80,516.00,69.00,561.45,1918.80,4.70
K153160,1575.00,406.20,25.80,248.76,2007.00,3.31
K153210,1500.00,838.80,85.20,265.83,2424.00,6.66
K153250,1573.80,313.50,52.20,536.26,1939.50,6.28
K153270,792.60,324.00,59.00,264.51,1175.60,4.47
K153310,1446.60,473.70,43.80,498.14,1964.10,4.96
K153330,2551.20,174.90,59.50,699.33,2785.60,3.15
K153370,1450.80,423.60,23.40,476.14,1897.80,3.21
K153410,841.20,172.80,57.00,295.86,1071.00,5.15
K153500,1185.60,21.00,21.60,250.26,1228.20,5.48
K153700,1600.80,186.60,25.80,597.94,1813.20,3.18
K153770,1975.20,406.20,31.80,419.80,2413.20,4.37
K153900,697.80,485.10,24.60,324.16,1207.50,5.20
K153920,1497.00,331.80,81.50,294.89,1910.30,8.49
K153950,808.80,195.60,91.80,337.03,1096.20,9.88
K154020,1724.40,587.10,59.40,362.13,2370.90,37.05
K154050,905.40,482.10,91.80,238.51,1479.30,4.47
K154220,1042.80,452.40,42.60,274.28,1537.80,11.48
K154240,850.20,572.70,36.00,325.43,1458.90,5.95
K154380,800.40,330.90,111.00,315.75,1242.30,5.33
K154430,954.00,288.60,58.20,252.81,1300.80,14.14
K154530,1425.60,404.40,34.50,192.36,1864.50,6.50
K154650,2061.00,363.00,40.20,406.85,2464.20,32.86
K154670,1297.20,28.80,82.20,408.53,1408.20,50.29
K154780,1150.80,62.70,64.20,191.60,1277.70,20.28
K154880,606.60,570.60,28.80,287.82,1206.00,3.70
K154990,1095.00,275.40,69.00,266.59,1439.40,12.52
K155180,1096.80,50.40,19.20,180.49,1166.40,26.51
K155480,1110.00,439.20,79.20,210.95,1628.40,10.86
K155530,957.60,106.20,34.20,245.67,1098.00,26.14
K155640,246.60,391.50,87.00,206.90,725.10,3.42
K155680,219.00,328.80,172.20,193.43,720.00,2.37
K155820,197.40,417.60,55.20,187.07,670.20,5.93
K155880,74.40,468.90,90.60,181.17,633.90,1.85
K155960,334.20,313.20,33.50,193.79,680.90,4.57
K155980,133.80,542.10,73.80,186.78,749.70,2.26
K156000,219.60,339.30,42.60,184.20,601.50,3.54
K156080,65.40,576.00,61.20,199.82,702.60,1.87
K156220,122.40,493.80,12.00,196.53,628.20,2.23
K156310,279.60,417.30,22.00,215.47,718.90,9.34
K156380,253.20,385.80,9.60,188.84,648.60,2.32
K156410,144.60,593.70,6.00,221.60,744.30,39.17
K156430,327.60,300.60,77.40,210.68,705.60,3.00
K156460,150.60,518.70,41.00,197.64,710.30,6.46
K156540,229.20,406.20,66.00,201.21,701.40,8.06
K156660,149.40,394.20,11.00,180.26,554.60,5.49
K156840,94.20,553.50,58.80,209.20,706.50,9.06
K156890,193.20,492.90,39.00,181.13,725.10,1.90
K157010,114.00,479.10,61.50,210.36,654.60,6.06
K157020,90.00,513.30,18.50,183.91,621.80,20.06
K157180,194.40,491.40,78.60,230.36,764.40,6.12
K157270,333.00,801.00,52.80,299.62,1186.80,2.61
K157320,391.80,477.30,3.60,226.48,872.70,2.63
K157370,582.60,490.20,99.60,249.78,1172.40,3.72
K157430,321.60,557.40,63.60,192.99,942.60,3.45
K157550,292.80,891.90,12.00,330.55,1196.70,3.04
K157790,810.00,1058.40,22.20,579.04,1890.60,3.26
K157810,375.00,605.10,69.00,331.25,1049.10,2.27
K157840,501.00,524.40,69.00,312.90,1094.40,1.87
K157880,433.20,405.90,63.00,289.68,902.10,2.42
K157910,361.20,388.20,30.60,205.48,780.00,2.03
K158080,309.60,572.40,10.00,223.31,892.00,1.67
K158140,366.00,555.60,48.50,277.88,970.10,4.08
K158470,525.60,654.90,57.60,229.73,1238.10,3.18
K158580,287.40,611.40,34.20,233.27,933.00,5.27
K158680,521.40,613.50,79.80,351.31,1214.70,1.69
K158770,510.00,503.40,10.20,197.36,1023.60,2.13
K158870,119.40,641.70,60.00,196.19,821.10,6.90
K158890,219.60,686.70,26.40,194.97,932.70,3.63
K159140,448.80,487.80,55.00,228.13,991.60,2.64
K159150,370.80,348.30,42.00,188.41,761.10,2.00
K159210,85.20,894.00,94.00,329.84,1073.20,2.17
K159220,472.80,518.70,78.00,303.78,1069.50,2.24
K159240,229.80,612.00,30.60,216.10,872.40,4.04
K159460,390.00,513.00,189.50,322.62,1092.50,3.09
K159480,355.80,643.50,50.40,329.80,1049.70,2.40
K159490,494.40,624.00,43.00,360.62,1161.40,1.74
K159590,778.80,716.10,82.20,516.17,1577.10,1.86
K159630,597.00,615.00,35.00,275.61,1247.00,1.99
K159660,503.40,571.20,8.40,188.36,1083.00,2.43
K159710,331.80,383.10,38.40,248.39,753.30,2.15
K159870,304.20,621.00,18.00,201.11,943.20,4.58
K159920,265.20,621.00,70.20,249.42,956.40,3.38
K160080,305.40,447.60,50.00,238.41,803.00,2.95
K160090,382.80,416.40,26.00,215.68,825.20,2.22
K160290,462.60,460.50,81.60,206.42,1004.70,2.05
K160350,615.60,699.90,115.80,416.51,1431.30,2.70
K160370,511.80,482.40,31.80,242.97,1026.00,3.17
K160470,471.60,445.50,124.00,264.11,1041.10,2.29
K160800,456.60,549.60,90.00,201.48,1096.20,2.02
K160970,403.20,474.90,156.60,266.06,1034.70,1.87
K161010,746.40,883.20,39.60,484.37,1669.20,4.20
K161050,491.40,684.90,12.60,352.74,1188.90,2.76
K161150,321.00,736.50,36.50,247.12,1094.00,2.50
K161250,580.80,559.50,43.00,183.69,1183.30,1.89
K161390,294.60,682.80,17.00,195.89,994.40,2.85
K161570,523.80,793.20,29.40,427.46,1346.40,2.51
K161590,490.20,448.50,128.40,288.15,1067.10,3.89
K161690,683.40,585.60,110.40,352.89,1379.40,5.92
K161740,84.60,614.10,71.50,252.30,770.20,2.86
K161800,604.80,577.50,117.00,203.56,1299.30,10.56
K161820,327.00,549.30,117.00,305.27,993.30,4.71
K161860,309.60,577.20,65.00,220.73,951.80,2.64
K161940,483.60,547.50,79.80,247.42,1110.90,2.57
K162190,498.00,797.10,91.20,346.22,1386.30,27.18
K162370,294.60,735.00,116.40,188.33,1146.00,1.98
K162400,522.00,515.10,45.50,290.86,1082.60,2.35
K162430,313.80,592.20,136.50,300.43,1042.50,5.46
K162480,471.00,640.20,81.00,235.97,1192.20,4.13
K162520,553.80,719.10,52.80,315.64,1325.70,5.62
K162660,482.40,476.70,127.00,229.47,1086.10,6.35
K162800,465.60,689.10,50.40,190.72,1205.10,2.72
K162880,262.20,719.10,3.60,185.78,984.90,3.49
K162910,267.60,591.00,46.20,242.03,904.80,14.59
K163050,297.00,398.40,78.00,184.26,773.40,2.68
K163060,252.00,839.70,58.50,366.50,1150.20,2.53
K163140,465.00,534.90,47.40,184.38,1047.30,3.82
K163210,612.00,570.00,93.00,203.73,1275.00,2.43
K163280,171.60,854.10,99.00,356.29,1124.70,3.72
K163310,314.40,519.90,41.40,199.11,875.70,8.76
K163460,363.00,678.90,68.40,193.47,1110.30,4.41
K163490,606.60,510.30,132.00,311.51,1248.90,4.84
K163530,386.40,455.40,72.00,199.81,913.80,6.53
K163580,415.20,647.70,13.20,350.32,1076.10,2.83
K163630,141.60,664.20,51.00,264.32,856.80,2.84
K163670,345.60,362.10,130.80,183.27,838.50,2.79
K163710,562.20,544.50,40.80,336.76,1147.50,21.65
K163740,395.40,546.90,22.00,274.55,964.30,5.36
K163820,245.40,586.80,78.60,246.11,910.80,7.72
K163890,689.40,800.70,22.20,273.95,1512.30,36.89
K163920,374.40,651.90,14.40,258.27,1040.70,3.80
K163940,315.00,684.60,61.20,229.02,1060.80,2.32
K164100,636.60,578.10,115.20,273.99,1329.90,3.09
K164170,314.40,630.00,84.60,229.98,1029.00,2.50
K164180,566.40,639.00,129.00,207.79,1334.40,3.07
K164300,208.80,608.10,21.00,188.28,837.90,6.65
K164390,512.40,615.30,100.80,217.18,1228.50,3.13
K164430,36.00,785.70,78.50,230.41,900.20,10.11
K164450,373.80,371.40,33.60,187.57,778.80,8.56
K164470,624.00,603.30,27.00,209.92,1254.30,2.73
K164490,79.80,626.40,103.80,210.34,810.00,8.90
K164700,393.60,959.70,69.50,277.44,1422.80,3.77
K164900,517.20,594.00,70.80,358.94,1182.00,8.69
K164910,267.60,622.50,91.20,301.99,981.30,2.24
K164930,568.80,789.60,33.00,335.95,1391.40,3.24
K165020,486.00,430.50,64.80,215.63,981.30,2.62
K165110,360.00,531.30,27.50,198.07,918.80,4.86
K165140,680.40,666.90,89.00,413.11,1436.30,7.40
K165270,127.20,677.70,29.00,214.09,833.90,3.42
K165490,276.00,841.20,28.00,280.72,1145.20,3.08
K165520,249.60,646.80,139.80,330.95,1036.20,7.85
K165540,196.20,522.90,63.00,234.87,782.10,3.10
K165550,394.20,604.80,41.50,316.94,1040.50,2.58
K165570,447.60,417.60,41.40,273.06,906.60,6.97
K165610,729.00,154.50,34.50,246.05,918.00,2.23
K165800,484.80,360.60,16.50,187.62,861.90,2.99
K166130,481.80,298.20,108.00,181.73,888.00,1.84
K166200,582.00,258.90,41.40,282.68,882.30,2.44
K166210,509.40,399.30,67.20,203.58,975.90,2.32
K166220,551.40,160.50,13.80,221.11,725.70,2.13
K166290,680.40,124.20,35.40,270.94,840.00,1.99
K166330,507.60,360.60,68.40,260.50,936.60,2.46
K166390,640.20,19.20,75.60,214.55,735.00,1.85
K166540,574.20,282.90,142.20,318.43,999.30,2.09
K166610,540.00,113.10,4.50,200.82,657.60,2.19
K166770,537.60,178.20,102.60,198.27,818.40,2.17
K167060,454.20,362.70,58.00,262.37,874.90,3.02
K167070,736.20,97.20,101.00,238.24,934.40,2.60
K167140,547.20,258.30,71.40,259.51,876.90,3.30
K167200,796.80,15.00,108.00,197.93,919.80,2.02
K167250,717.60,42.00,41.40,225.01,801.00,2.04
K167430,553.20,123.60,42.00,215.99,718.80,2.43
K167440,339.60,198.90,43.00,180.50,581.50,2.20
K167530,447.60,215.40,16.80,220.57,679.80,2.70
K167590,556.20,329.10,8.00,230.43,893.30,1.80
K167660,581.40,220.20,118.20,249.28,919.80,1.83
K167690,759.60,56.10,45.50,263.85,861.20,2.12
K168060,615.60,186.30,27.00,201.80,828.90,2.14
K168150,600.00,165.00,157.80,209.21,922.80,5.37
K168190,513.00,181.80,15.00,218.20,709.80,4.01
K168290,583.20,266.70,95.50,213.27,945.40,5.50
K168450,543.00,203.10,111.50,205.45,857.60,2.68
K168500,639.60,247.80,13.20,228.03,900.60,2.91
K168670,510.60,339.00,55.80,196.76,905.40,2.97
K168690,357.00,183.00,112.80,209.61,652.80,4.44
K168750,593.40,300.60,53.40,310.22,947.40,3.91
K168770,556.80,320.70,40.00,212.46,917.50,4.85
K168830,488.40,192.00,145.80,248.15,826.20,5.47
K168890,510.00,168.00,202.20,193.27,880.20,2.85
K169010,532.20,141.60,16.00,184.02,689.80,3.38
K169110,555.60,340.50,31.50,205.31,927.60,2.45
K169130,679.20,107.70,57.50,241.50,844.40,6.30
K169160,589.80,223.50,109.50,259.70,922.80,3.10
K169260,578.40,294.30,50.50,212.65,923.20,5.66
K169390,732.60,45.00,100.20,209.59,877.80,3.34
K169440,666.00,29.10,25.20,185.74,720.30,3.29
K169490,372.00,242.70,33.60,197.51,648.30,3.31
K169650,720.60,120.30,86.40,237.44,927.30,10.19
K169680,597.00,100.80,112.80,197.83,810.60,9.32
K169730,366.00,300.00,27.00,197.88,693.00,2.77
K169740,639.00,167.40,94.00,220.87,900.40,2.92
K169750,769.20,107.70,20.40,212.93,897.30,11.36
K169830,498.00,286.80,32.00,229.95,816.80,4.04
K169950,804.60,39.60,42.00,180.32,886.20,11.08
K169980,465.60,224.70,34.20,219.82,724.50,2.78
K170070,664.20,197.40,12.60,204.22,874.20,16.49
K170090,493.80,285.90,33.00,247.82,812.70,2.25
K170150,656.40,219.60,87.60,211.00,963.60,3.08
K170710,580.20,301.50,75.00,192.06,956.70,3.45
K170720,670.80,175.20,22.80,216.59,868.80,4.94
K170740,414.00,307.50,42.00,239.19,763.50,3.14
K170770,484.80,359.70,37.20,246.36,881.70,2.31
K170780,567.60,275.40,27.60,261.61,870.60,3.01
K170790,577.80,110.70,67.50,182.41,756.00,3.90
K170890,512.40,213.30,34.00,210.44,759.70,4.42
K171570,1208.40,538.50,34.20,409.59,1781.10,1.82
K171640,1616.40,100.80,9.60,534.02,1726.80,2.15
K171690,1170.60,414.60,45.00,528.00,1630.20,2.26
K171750,1108.80,249.60,47.00,389.16,1405.40,2.82
K171790,966.60,449.70,52.00,332.48,1468.30,2.65
K171820,878.40,356.40,75.00,417.02,1309.80,1.92
K171910,1487.40,242.40,22.20,513.09,1752.00,2.03
K171930,1160.40,218.40,51.00,432.98,1429.80,1.86
K171980,943.80,165.90,28.00,337.29,1137.70,2.04
K171990,722.40,412.80,39.00,229.07,1174.20,1.86
K172090,2056.80,462.00,26.00,470.73,2544.80,2.18
K172280,1059.00,473.10,115.80,399.70,1647.90,2.38
K172300,783.00,416.10,50.50,232.32,1249.60,2.66
K172350,711.60,507.30,58.80,366.68,1277.70,1.78
K172490,1138.80,224.40,49.80,463.12,1413.00,1.89
K172530,1636.20,145.50,44.40,457.03,1826.10,2.28
K172680,663.60,551.40,8.40,368.11,1223.40,2.14
K172780,765.00,541.50,23.00,236.51,1329.50,1.98
K172830,1085.40,279.90,55.80,212.25,1421.10,1.95
K172890,2394.00,123.00,5.00,662.42,2522.00,1.62
K172960,733.80,391.80,28.00,357.41,1153.60,2.54
K173250,1437.00,366.00,114.60,397.27,1917.60,2.07
K173290,688.20,539.40,40.20,338.56,1267.80,2.91
K173460,1312.20,311.70,50.40,232.73,1674.30,1.96
K173520,1258.20,127.50,76.20,313.72,1461.90,1.95
K173560,866.40,568.80,78.00,282.47,1513.20,1.76
K173660,1381.20,161.40,8.40,394.43,1551.00,2.07
K173720,1084.20,549.60,90.00,464.85,1723.80,2.93
K173790,547.20,492.60,8.00,224.74,1047.80,3.77
K173900,928.20,709.50,76.20,211.01,1713.90,1.97
K173950,769.80,707.70,40.80,460.41,1518.30,2.21
K174090,704.40,317.10,70.20,308.01,1091.70,1.93
K174160,808.20,189.90,26.40,250.37,1024.50,2.55
K174180,851.40,333.60,66.60,370.16,1251.60,1.64
K174200,1333.80,330.90,65.40,243.54,1730.10,1.82
K174360,1203.60,525.00,7.50,501.30,1736.10,2.88
K174430,2084.40,476.10,28.20,302.48,2588.70,2.45
K174550,854.40,620.10,19.20,242.09,1493.70,1.76
K174570,1650.60,453.30,12.00,690.79,2115.90,1.96
K174630,864.00,486.60,37.00,213.67,1387.60,2.15
K174780,819.60,486.90,73.80,306.37,1380.30,2.78
K174860,1209.00,19.20,27.60,362.99,1255.80,2.27
K174930,1032.60,573.90,89.50,261.23,1696.00,2.18
K174940,733.20,537.30,46.00,419.36,1316.50,2.25
K175100,1162.80,402.60,16.50,389.11,1581.90,1.64
K175130,1389.60,678.00,21.60,237.08,2089.20,2.28
K175150,870.60,586.50,98.00,328.86,1555.10,1.73
K175280,1722.60,155.10,32.00,339.42,1909.70,2.32
K175290,1029.60,238.80,83.40,439.65,1351.80,1.83
K175310,1050.60,370.20,47.00,364.06,1467.80,2.66
K175370,1570.80,122.40,66.60,569.09,1759.80,2.05
K175430,2117.40,207.60,22.20,611.63,2347.20,2.15
K175450,905.40,235.50,19.80,218.41,1160.70,2.27
K175460,1242.60,316.80,48.00,498.65,1607.40,2.44
K175490,2169.00,262.20,81.00,333.21,2512.20,1.94
K175630,1852.80,309.00,14.00,497.27,2175.80,1.86
K175680,913.80,590.40,96.00,413.43,1600.20,2.04
K175690,2329.80,119.70,46.20,731.64,2495.70,1.61
K175720,1395.00,258.00,56.00,197.97,1709.00,2.24
K175940,715.80,342.00,129.60,280.27,1187.40,2.27
K176060,721.80,310.50,40.20,307.97,1072.50,2.18
K176120,976.80,577.50,62.40,435.66,1616.70,2.74
K176210,1324.20,391.80,4.80,375.86,1720.80,1.65
K176250,1073.40,94.20,36.60,328.76,1204.20,1.82
K176420,1055.40,199.20,37.80,212.03,1292.40,2.51
K176450,1695.60,237.90,133.50,293.21,2067.00,1.87
K176460,750.60,154.80,117.00,208.83,1022.40,2.38
K176480,631.80,326.40,75.00,189.12,1033.20,2.21
K176510,989.40,83.70,128.40,180.61,1201.50,1.97
K176640,1069.20,93.30,118.20,202.53,1280.70,2.12
K176660,1909.80,359.70,32.00,201.89,2301.50,1.77
K176810,1027.80,174.60,38.40,194.13,1240.80,2.14
K176860,1093.80,561.00,28.80,528.20,1683.60,3.11
K176960,1578.60,292.20,45.60,231.27,1916.40,2.19
K176990,1140.00,83.40,21.00,305.77,1244.40,2.32
K177020,1491.00,420.90,29.40,569.33,1941.30,2.84
K177030,754.80,515.10,47.00,323.97,1316.90,2.58
K177040,675.00,577.80,78.60,269.96,1331.40,1.69
K177080,2481.60,177.30,52.80,604.64,2711.70,2.19
K177130,1248.60,135.30,25.20,307.54,1409.10,1.92
K177280,2424.00,67.20,70.00,767.74,2561.20,2.21
K177380,1437.00,504.60,16.20,471.04,1957.80,2.09
K177530,1215.00,430.20,46.00,481.71,1691.20,2.16
K177650,1101.00,268.20,18.00,454.81,1387.20,1.99
K177740,768.00,252.00,56.40,346.26,1076.40,2.17
K177770,1287.60,229.50,36.00,256.64,1553.10,1.80
K177920,858.00,120.00,106.50,346.02,1084.50,2.07
K178070,988.20,158.10,50.40,308.03,1196.70,1.84
K178200,2004.00,217.80,45.60,187.93,2267.40,2.22
K178230,793.80,579.60,39.60,451.12,1413.00,2.49
K178280,688.80,337.80,145.20,263.69,1171.80,2.10
K178290,1095.00,839.40,21.00,618.22,1955.40,3.26
K178390,1710.60,286.20,130.20,649.86,2127.00,2.18
K178420,1174.20,94.50,44.00,230.22,1312.70,2.23
K178490,976.80,48.30,10.20,288.94,1035.30,1.65
K178500,979.20,512.70,63.00,238.06,1554.90,1.75
K178530,1657.20,324.90,90.60,483.89,2072.70,2.45
K178570,1028.40,401.40,25.00,431.49,1454.80,2.65
K178600,1214.40,23.10,87.00,308.07,1324.50,1.85
K178850,1080.60,152.10,79.20,355.69,1311.90,2.42
K178940,1254.00,354.60,27.00,242.82,1635.60,2.86
K179000,658.20,390.90,33.00,234.94,1082.10,1.79
K179090,1398.60,510.60,19.80,460.46,1929.00,3.10
K179160,1048.80,422.40,31.20,325.90,1502.40,2.37
K179250,1443.60,337.80,128.40,235.48,1909.80,2.11
K179340,603.60,442.50,117.00,222.37,1163.10,3.69
K179390,2084.40,742.50,55.80,259.23,2882.70,2.11
K179400,1363.20,124.80,130.00,384.27,1618.00,2.50
K179530,984.60,22.80,2.40,215.16,1009.80,1.60
K179560,642.60,450.30,34.50,339.97,1127.40,3.93
K179570,720.60,438.90,42.60,317.30,1202.10,2.28
K179580,1795.80,594.00,52.80,270.84,2442.60,2.37
K179650,1200.00,468.90,61.20,400.06,1730.10,2.01
K179670,883.20,360.30,3.00,273.91,1246.50,2.73
K179720,791.40,491.70,27.00,359.11,1310.10,2.58
K179750,1674.00,31.50,81.00,256.31,1786.50,2.44
K179760,766.80,226.80,52.80,259.39,1046.40,1.87
K179830,1658.40,40.50,17.00,410.61,1715.90,1.66
K179940,1291.20,298.20,112.00,317.70,1701.40,2.03
K179960,1011.00,591.00,118.20,292.19,1720.20,1.77
K180100,689.40,512.70,98.40,359.19,1300.50,2.24
K180130,2460.00,573.30,60.60,1014.82,3093.90,2.83
K180170,1139.40,179.70,142.20,411.32,1461.30,2.04
K180240,723.00,585.90,72.00,197.29,1380.90,1.99
K180340,1222.80,300.90,33.60,360.96,1557.30,2.84
K180490,1269.60,663.30,30.00,314.00,1962.90,3.21
K180610,980.40,21.30,124.20,267.15,1125.90,2.70
K180780,2008.80,64.80,31.00,336.93,2104.60,1.56
K180830,915.00,450.00,61.00,418.68,1426.00,1.84
K180900,751.80,343.20,27.00,182.13,1122.00,2.44
K181070,1433.40,250.80,20.40,395.31,1704.60,1.83
K181140,687.00,523.80,32.40,238.71,1243.20,2.23
K181200,725.40,624.90,64.50,347.01,1414.80,2.11
K181350,1057.20,421.50,15.00,262.10,1493.70,2.69
K181380,1104.00,82.20,57.00,270.27,1243.20,2.56
K181400,2281.20,84.30,60.60,490.21,2426.10,1.88
K181470,1017.60,516.30,68.00,527.85,1601.90,1.89
K181490,1113.60,272.70,16.20,364.76,1402.50,2.65
K181600,1699.20,446.40,34.00,449.84,2179.60,2.22
K181820,651.60,424.80,36.50,254.02,1112.90,2.66
K181860,1612.80,477.00,61.80,629.83,2151.60,1.70
K181890,1656.00,263.10,18.60,300.92,1937.70,1.72
K181940,1307.40,139.80,33.00,260.71,1480.20,2.62
K182090,670.80,300.00,49.80,325.66,1020.60,2.38
K182250,1368.60,285.00,36.50,505.99,1690.10,2.44
K182270,1060.80,307.80,33.00,303.91,1401.60,1.67
K182310,953.40,581.70,33.00,424.33,1568.10,2.18
K182540,552.00,524.40,19.50,197.30,1095.90,2.96
K182560,1165.80,959.40,26.40,540.68,2151.60,3.60
K182570,1416.00,603.00,48.50,537.77,2067.50,2.66
K182590,904.20,230.70,31.20,236.86,1166.10,2.69
K182610,620.40,401.10,33.00,334.21,1054.50,2.28
K182650,1868.40,189.00,119.40,574.29,2176.80,3.15
K182850,1389.00,146.40,60.60,237.53,1596.00,2.68
K183040,1234.20,293.10,100.80,537.01,1628.10,1.71
K183110,1966.20,557.70,79.50,355.11,2603.40,2.45
K183120,1398.60,655.50,50.00,649.85,2104.10,1.96
K183200,1124.40,583.50,24.60,337.53,1732.50,3.69
K183290,1327.80,115.50,39.00,210.43,1482.30,2.56
K183390,1028.40,430.20,54.60,293.12,1513.20,2.52
K183440,548.40,427.20,100.80,216.16,1076.40,2.88
K183610,954.60,439.50,21.00,425.55,1415.10,3.66
K183730,1983.60,351.30,43.00,585.56,2377.90,3.05
K184010,862.80,203.40,35.40,268.32,1101.60,2.55
K184110,1027.20,57.00,64.80,337.74,1149.00,1.92
K184550,919.80,115.80,23.00,342.24,1058.60,2.74
K184660,1036.20,131.10,111.50,375.92,1278.80,2.60
K184860,1263.60,448.50,152.00,246.44,1864.10,2.29
K184920,986.40,630.30,49.50,488.95,1666.20,2.35
K184980,1430.40,374.10,23.00,372.44,1827.50,2.13
K185010,997.80,48.30,30.60,303.98,1076.70,1.60
K185150,661.80,256.80,116.40,331.74,1035.00,1.81
K185180,635.40,309.00,56.40,250.75,1000.80,2.70
K185270,852.00,325.50,106.00,196.10,1283.50,3.06
K185400,798.60,494.10,3.60,410.31,1296.30,2.76
K185520,1057.20,66.60,48.00,362.93,1171.80,2.90
K185580,939.00,293.10,124.50,292.40,1356.60,2.06
K185710,995.40,205.50,138.00,303.27,1338.90,1.90
K185900,1479.60,741.30,24.60,469.75,2245.50,1.78
K185930,950.40,358.80,20.00,354.65,1329.20,2.16
K186080,1104.60,411.60,6.00,430.34,1522.20,2.10
K186120,1794.60,372.90,142.20,233.01,2309.70,2.20
K186170,618.00,575.70,18.00,396.72,1211.70,1.97
K186260,1012.20,726.90,30.00,293.21,1769.10,2.33
